experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.RT_allTrials,myExp.RT_correctTrials,myExp.step,stroopResp.keys,stroopResp.corr,stroopResp.rt,stroopResp.duration,blank.started,fbSound.started,blankPeriod.started,fbSound.stopped,blank.stopped,stroopStim.stopped,stroopResp.stopped,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.00510989999929734,0.0355887999994593,9.662313499999073,9.6623555999995,9.676616799999465,11.595219999999244,11.5952699999998,11.606982699999207,11.606982699999207,12.443350499999724,space,0.8322803000010026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
0,0,0,0,13.01639140000043,,,,,,,,,,,,,,,12.44351160000042,12.941300099999353,12.981962399999247,1,blue,green,0.0,c,13.01639140000043,13.01639140000043,13.724928100000398,c,1.0980918999994174,1.0,0.6919500000003609,0.6919500000003609,-0.05,c,1,0.6919500000003609,None,13.739849999999933,0.0009489999993093079,0.0009489999993093079,0.3958628000000317,14.141387600000598,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
1,0,1,0,14.161204800000633,,,,,,,,,,,,,,,,,14.143836499999452,2,red,red,1.0,m,14.161204800000633,14.161204800000633,14.741356399999859,m,1.0480918999994173,1.0,0.5633253999985754,0.5633253999985754,0.0,m,1,0.5633253999985754,None,14.745647899999312,0.00044689999958791304,0.00044689999958791304,0.47222420000070997,15.224476699999286,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
2,0,2,0,15.239517699999851,,,,,,,,,,,,,,,,,15.225333899999896,3,blue,green,0.0,c,15.239517699999851,15.239517699999851,15.79230169999937,m,1.0480918999994173,0.0,0.5493989000005968,,0.05,m,0,0.5493989000005968,None,15.79717410000012,0.0006966999990254408,0.0006966999990254408,0.4879241999988153,16.29053179999937,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
3,0,3,0,16.30759070000022,,,,,,,,,,,,,,,,,16.29409080000005,4,red,yellow,0.0,s,16.30759070000022,16.30759070000022,16.774967800000013,s,1.0980918999994174,1.0,0.45900499999879685,0.45900499999879685,-0.05,s,1,0.45900499999879685,None,16.779490299999452,0.00061939999977767,0.00061939999977767,0.6283509999993839,17.413180399998964,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
4,0,4,0,17.43745730000046,,,,,,,,,,,,,,,,,17.41428420000011,5,yellow,yellow,1.0,s,17.43745730000046,17.43745730000046,17.910134599998855,s,1.0480918999994173,1.0,0.46890650000023015,0.46890650000023015,0.0,s,1,0.46890650000023015,None,17.91606429999956,0.0011202999994566198,0.0011202999994566198,0.5686688999994658,18.4892104999999,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
5,0,5,0,18.501468599999498,,,,,,,,,,,,,,,,,18.490253800000573,6,blue,blue,1.0,l,18.501468599999498,18.501468599999498,18.94267729999956,l,1.0480918999994173,1.0,0.42324050000024727,0.42324050000024727,0.0,l,1,0.42324050000024727,None,18.948733999999604,0.0008104999997158302,0.0008104999997158302,0.6138233999990916,19.567259899999044,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
6,0,6,0,19.57891059999929,,,,,,,,,,,,,,,,,19.568232100000387,7,yellow,green,0.0,c,19.57891059999929,19.57891059999929,20.258887300000424,c,1.0480918999994173,1.0,0.6643679999997403,0.6643679999997403,-0.05,c,1,0.6643679999997403,None,20.264583700000003,0.000821600000563194,0.000821600000563194,0.37423540000054345,20.645328900000095,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
7,0,7,0,20.669686499999443,,,,,,,,,,,,,,,,,20.64731589999974,8,green,red,0.0,m,20.669686499999443,20.669686499999443,21.043938400000116,m,0.9980918999994173,1.0,0.3705515000001469,0.3705515000001469,-0.05,m,1,0.3705515000001469,None,21.04958549999901,0.0009406000008311821,0.0009406000008311821,0.6160350000009203,21.67038229999889,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
8,0,8,0,21.68215489999966,,,,,,,,,,,,,,,,,21.671671099999003,9,yellow,yellow,1.0,s,21.68215489999966,21.68215489999966,22.12579039999946,s,0.9480918999994172,1.0,0.43336249999993015,0.43336249999993015,0.0,s,1,0.43336249999993015,None,22.131385099999534,0.000734799999918323,0.000734799999918323,0.5052248000010877,22.642727500000547,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
9,0,9,0,22.658101900000474,,,,,,,,,,,,,,,,,22.644453400000202,10,red,blue,0.0,l,22.658101900000474,22.658101900000474,23.242218600000342,l,0.9480918999994172,1.0,0.5803513999999268,0.5803513999999268,-0.05,l,1,0.5803513999999268,None,23.248401799999556,0.0008150000012392411,0.0008150000012392411,0.3582384000001184,23.607770200000232,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
10,0,10,0,23.624241999999867,,,,,,,,,,,,,,,,,23.609257799998886,11,blue,blue,1.0,l,23.624241999999867,23.624241999999867,24.091297799999666,l,0.8980918999994172,1.0,0.45239390000097046,0.45239390000097046,0.0,l,1,0.45239390000097046,None,24.095488299999488,0.00047850000009930227,0.00047850000009930227,0.4345945999994001,24.536196699998982,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
11,0,11,0,24.551177199999074,,,,,,,,,,,,,,,,,24.538955399999395,12,red,red,1.0,m,24.551177199999074,24.551177199999074,25.30777239999952,m,0.8980918999994172,1.0,0.7469816000011633,0.7469816000011633,0.0,m,1,0.7469816000011633,None,25.31310200000007,0.0005660999995598104,0.0005660999995598104,0.14123759999893082,25.459840199999235,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
12,0,12,0,25.471934600000168,,,,,,,,,,,,,,,,,25.461155499999222,13,blue,green,0.0,c,25.471934600000168,25.471934600000168,26.075052700000015,c,0.8980918999994172,1.0,0.5991969000006065,0.5991969000006065,-0.05,c,1,0.5991969000006065,None,26.080931399999827,0.0010407999998278683,0.0010407999998278683,0.28907689999869035,26.375073400000474,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
13,0,13,0,26.389653700000054,,,,,,,,,,,,,,,,,26.376304399998844,14,green,red,0.0,m,26.389653700000054,26.389653700000054,27.20888819999891,m,0.8480918999994171,1.0,0.8068089000007603,0.8068089000007603,-0.05,m,1,0.8068089000007603,None,27.21435659999952,0.0008280000001832377,0.0008280000001832377,0.041485499999907915,27.273770899999363,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
14,0,14,0,27.292722899999717,,,,,,,,,,,,,,,,,27.276233799999318,15,blue,blue,1.0,l,27.292722899999717,27.292722899999717,28.04200320000018,l,0.7980918999994171,1.0,0.7371692999986408,0.7371692999986408,0.0,l,1,0.7371692999986408,None,28.047587799999746,0.0007203000004665228,0.0007203000004665228,0.05034659999910218,28.121487599999455,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
15,0,15,0,28.138125899999068,,,,,,,,,,,,,,,,,28.123738599999342,16,red,green,0.0,c,28.138125899999068,28.138125899999068,28.725891399999455,c,0.7980918999994171,1.0,0.5842079000012745,0.5842079000012745,-0.05,c,1,0.5842079000012745,None,28.731596399999034,0.0008252999996329891,0.0008252999996329891,0.20432230000005802,28.93736639999952,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
16,0,16,0,28.95478700000058,,,,,,,,,,,,,,,,,28.939689299999372,17,blue,red,0.0,m,28.95478700000058,28.95478700000058,29.658167699999467,m,0.748091899999417,1.0,0.6915389999994659,0.6915389999994659,-0.05,m,1,0.6915389999994659,None,29.665204699998867,0.0008438000004389323,0.0008438000004389323,0.04526119999900402,29.72788009999931,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
17,0,17,0,29.7450501000003,,,,,,,,,,,,,,,,,29.72958649999964,18,yellow,yellow,1.0,s,29.7450501000003,29.7450501000003,30.27548769999885,s,0.698091899999417,1.0,0.5143995999987965,0.5143995999987965,0.0,s,1,0.5143995999987965,None,30.282744000000093,0.0007456000003003282,0.0007456000003003282,0.17319099999986065,30.457273599999098,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
