experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,stroopStim.stopped,stroopResp.stopped,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.step,stroopResp.keys,stroopResp.corr,blank.started,fbCound.started,blankPeriod.started,fbCound.stopped,blank.stopped,myExp.RT_allTrials,myExp.RT_correctTrials,stroopResp.rt,stroopResp.duration,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.004701500000010128,0.029659599998922204,16.48073949999889,16.48076519999995,16.495701899999403,18.2980692000001,18.298106399999597,18.3102246999988,18.3102246999988,18.91177930000049,space,0.5954284999988886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
0,0,0,0,19.445164799999475,,,,,,,,,,,,,,,18.911811599999055,19.411143600000287,19.42451970000002,1,green,green,1.0,c,19.445164799999475,19.445164799999475,20.5433522000003,20.5433522000003,20.52842309999869,nan,1.0980918999994174,0.0,0.0,None,0,20.532035000000178,0.00050560000090627,0.00050560000090627,0.04485980000026757,20.59326669999973,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
1,0,1,0,20.607850899999903,,,,,,,,,,,,,,,,,20.59512469999936,2,red,red,1.0,m,20.607850899999903,20.607850899999903,,,21.21393159999934,m,1.0980918999994174,1.0,0.0,m,1,21.22675679999884,0.0006871999994473299,0.0006871999994473299,0.48385939999934635,21.71204260000013,0.6031217999989167,0.6031217999989167,0.6031217999989167,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
2,0,2,0,21.725276199998916,,,,,,,,,,,,,,,,,21.71346099999937,3,green,green,1.0,c,21.725276199998916,21.725276199998916,22.830319799999415,22.830319799999415,22.816132099998867,nan,1.0980918999994174,0.0,0.0,None,0,22.818664700000227,0.0004891999997198582,0.0004891999997198582,0.04581119999966177,22.882786000000124,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
3,0,3,0,22.9007373000004,,,,,,,,,,,,,,,,,22.884364199999254,4,blue,blue,1.0,l,22.9007373000004,22.9007373000004,,,23.499636399999872,l,1.0980918999994174,1.0,0.0,l,1,23.501683599999524,0.0002804000014293706,0.0002804000014293706,0.4974075999998604,24.016526800000065,0.5920501000000513,0.5920501000000513,0.5920501000000513,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
4,0,4,0,24.031172400000287,,,,,,,,,,,,,,,,,24.018170199999076,5,green,green,1.0,c,24.031172400000287,24.031172400000287,,,24.515801899999133,c,1.0980918999994174,1.0,0.0,c,1,24.518894999999247,0.00029349999931582715,0.00029349999931582715,0.7360414999984641,25.256077500000174,0.48085039999932633,0.48085039999932633,0.48085039999932633,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
5,0,5,0,25.266431699999885,,,,,,,,,,,,,,,,,25.25702420000016,6,blue,blue,1.0,l,25.266431699999885,25.266431699999885,,,25.995485600000393,l,1.0980918999994174,1.0,0.0,l,1,26.00057519999973,0.0006484000005002599,0.0006484000005002599,0.36767370000052324,26.37435480000022,0.7214554999991378,0.7214554999991378,0.7214554999991378,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
6,0,6,0,26.393088900000294,,,,,,,,,,,,,,,,,26.376542799998788,7,yellow,yellow,1.0,s,26.393088900000294,26.393088900000294,,,26.89512730000024,s,1.0980918999994174,1.0,0.0,s,1,26.89912480000021,0.0005129000001034001,0.0005129000001034001,0.5928523999991739,27.498067399999854,0.49433550000139803,0.49433550000139803,0.49433550000139803,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
7,0,7,0,27.50939440000002,,,,,,,,,,,,,,,,,27.499673999998777,8,blue,blue,1.0,l,27.50939440000002,27.50939440000002,28.609365999998772,28.609365999998772,28.594206499999927,nan,1.0980918999994174,0.0,0.0,None,0,28.597383500000433,0.0006311999986792216,0.0006311999986792216,0.045751399999062414,28.66316050000023,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
8,0,8,0,28.678188099998806,,,,,,,,,,,,,,,,,28.665069099999528,9,green,green,1.0,c,28.678188099998806,28.678188099998806,,,29.362076499999603,c,1.0980918999994174,1.0,0.0,c,1,29.366666599999007,0.0004503999989537988,0.0004503999989537988,0.4073393999988184,29.779966799998874,0.6801832000001014,0.6801832000001014,0.6801832000001014,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
