experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.RT_allTrials,myExp.step,stroopResp.keys,stroopResp.corr,stroopResp.rt,stroopResp.duration,blank.started,fbSound.started,blankPeriod.started,fbSound.stopped,blank.stopped,myExp.RT_correctTrials,stroopStim.stopped,stroopResp.stopped,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.005168199999388889,0.040807899998981156,4.7720324999991135,4.77207129999988,4.786971899999116,17.88826489999883,17.888298800000484,17.900629100000515,17.900629100000515,18.817977599999722,space,0.9139912999999069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
0,0,0,0,19.410525999999663,,,,,,,,,,,,,,,18.818009399999937,19.31826799999908,19.37221800000043,1,blue,green,0.0,c,19.410525999999663,19.410525999999663,19.902353499999663,m,1.0980918999994174,0.0,0.48706789999960165,0.0,m,0,0.48706789999960165,None,19.914236999999048,0.0005263000002742046,0.0005263000002742046,0.6024744999995164,20.51792629999909,,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
1,0,1,0,20.548601899999994,,,,,,,,,,,,,,,,,20.51961250000022,2,yellow,yellow,1.0,s,20.548601899999994,20.548601899999994,20.951454599999124,s,1.0980918999994174,1.0,0.39851769999950193,0.0,s,1,0.39851769999950193,None,20.954564599998776,0.0004503999989537988,0.0004503999989537988,0.687959700000647,21.651244799999404,0.39851769999950193,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
2,0,2,0,21.66800239999975,,,,,,,,,,,,,,,,,21.652763799998866,3,green,blue,0.0,l,21.66800239999975,21.66800239999975,22.23524179999913,l,1.0980918999994174,1.0,0.5636826000009023,0.0,l,1,0.5636826000009023,None,22.239239000000453,0.00042329999996582046,0.00042329999996582046,0.524169800000891,22.76970909999909,0.5636826000009023,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
3,0,3,0,22.786006299998917,,,,,,,,,,,,,,,,,22.77173539999967,4,yellow,yellow,1.0,s,22.786006299998917,22.786006299998917,23.236016900000322,s,1.0980918999994174,1.0,0.432436900000539,0.0,s,1,0.432436900000539,None,23.241876000000047,0.0008223999993788311,0.0008223999993788311,0.6551665999995748,23.90275610000026,0.432436900000539,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
4,0,4,0,23.91896699999961,,,,,,,,,,,,,,,,,23.903856999999334,5,red,green,0.0,c,23.91896699999961,23.91896699999961,24.502453199998854,c,1.0980918999994174,1.0,0.5710521999990306,0.0,c,1,0.5710521999990306,None,24.505738300000303,0.000356399999873247,0.000356399999873247,0.5156253999994078,25.034320700000535,0.5710521999990306,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
5,0,5,0,25.050150799999756,,,,,,,,,,,,,,,,,25.035821899999064,6,yellow,yellow,1.0,s,25.050150799999756,25.050150799999756,25.435182799999893,s,1.0980918999994174,1.0,0.3815422999996372,0.0,s,1,0.3815422999996372,None,25.437334299998838,0.00032189999910769984,0.00032189999910769984,0.7045777999992424,26.151316499999666,0.3815422999996372,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
6,0,6,0,26.16826719999881,,,,,,,,,,,,,,,,,26.153090599998905,7,green,green,1.0,c,26.16826719999881,26.16826719999881,26.602203200000076,c,1.0980918999994174,1.0,0.41869990000122925,0.0,c,1,0.41869990000122925,None,26.60691079999924,0.0004967999993823469,0.0004967999993823469,0.6682583999991039,27.280765699999392,0.41869990000122925,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
7,0,7,0,27.29584149999937,,,,,,,,,,,,,,,,,27.282916099999056,8,red,blue,0.0,l,27.29584149999937,27.29584149999937,27.684854999999516,m,1.0980918999994174,0.0,0.3874279999999999,0.0,m,0,0.3874279999999999,None,27.68746800000008,0.0003954999992856756,0.0003954999992856756,0.6997487999997247,28.401143999999476,,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
8,0,8,0,28.417798999998922,,,,,,,,,,,,,,,,,28.403502899998784,9,blue,green,0.0,c,28.417798999998922,28.417798999998922,28.953241299999718,m,1.0980918999994174,0.0,0.5230810000011843,0.0,m,0,0.5230810000011843,None,28.960242899998775,0.0009454000010009622,0.0009454000010009622,0.5677982000015618,29.529632499999934,,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
